Location,Property_Type,Price_Listing,Property_Sqft,Property_Tax,Bed,Bath
"95 BYRON Avenue, Kitchener, ON",Single Family,799900,1372,N/A,3,2
"134 APPLE RIDGE Drive, Kitchener, ON",Single Family,1100000,3084,5842,4,4
"92 CHARLES BEST Place, Kitchener, ON",Single Family,600000,N/A,2712,3,2
"15 WELLINGTON Street S Unit# 1906, Kitchener, ON",Condo,449000,N/A,2698,1,1
"155 COMMONWEALTH Street Unit# 208, Kitchener, ON",Condo,524900,955,2521,2,2
"76 MOUNT HOPE Street, Kitchener, ON",Single Family,599900,N/A,3358,3,2
"975 STRASBURG Road Unit# 12, Kitchener, ON",Condo,549900,1070,2594,2,2
"15 STAINES Street, Breslau, ON",Single Family,1070000,2730,4200,4,4
"498 DOON SOUTH Drive, Kitchener, ON",Single Family,739888,N/A,N/A,3,2
"707 BRANDENBURG Boulevard, Waterloo, ON",Single Family,749900,1939,N/A,3,2
"27 BRUDER Avenue, Kitchener, ON",Single Family,699900,2138,3208,3,2
"15 HOFSTETTER Avenue Unit# 403, Kitchener, ON",Condo,310000,850,1896,2,2
"118 BELMONT Avenue W, Kitchener, ON",Single Family,659900,1577,3398,3,2
"85 BANKSIDE Drive Unit# E29, Kitchener, ON",Condo,625000,N/A,3066,3,2
"60 FREDERICK Street Unit# 2910, Kitchener, ON",Condo,389900,621,2928,2,2
"B510 - 275 LARCH STREET, Waterloo, ON",Condo,499900,N/A,2570 (2024),2,2
"275 LARCH Street Unit# B510, Waterloo, ON",Condo,499900,678,2570,2,2
"144 GREENDALE CRESCENT, Kitchener, ON",Single Family,639900,N/A,2679 (2024),3,2
"1989 OTTAWA Street Unit# 30G, Kitchener, ON",Condo,524900,966,3115,2,1
"181 DOON MILLS Drive, Kitchener, ON",Single Family,825000,1485,4786,2,3
"85 BANKSIDE Drive Unit# E34, Kitchener, ON",Condo,669900,1360,N/A,3,3
"3 ROSECLIFF Place, Cambridge, ON",Single Family,979999,1700,N/A,3,3
"84 ROBERT PEEL ROAD, Kitchener, ON",Single Family,769000,N/A,N/A,3,3
"45 CEDARHILL Crescent Unit# 14A, Kitchener, ON",Condo,419900,980,N/A,2,1
"142 FOAMFLOWER Place Unit# B025, Waterloo, ON",Condo,575900,1090,N/A,3,2
"101 GREENGABLE Way, Kitchener, ON",Single Family,1199000,2841,7508,4,3
"476 KINGSCOURT Drive Unit# 20, Waterloo, ON",Condo/Townhome,549900,N/A,N/A,3,2
"15 PINE WARBLER Street Unit# Lot 0004, Kitchener, ON",Single Family,802400,1440,N/A,3,3
"120 JACOB DETWEILLER Drive Unit# Lot 0098, Kitchener, ON",Single Family,799900,1483,N/A,3,3
"15 BELTON Drive, Kitchener, ON",Single Family,724900,1420,3650,3,2
"423 WESTWOOD Drive Unit# 31, Kitchener, ON",Condo/Townhome,549900,N/A,N/A,3,3
"179 DOON MILLS Drive, Kitchener, ON",Single Family,999900,N/A,N/A,3,3
"37 BLUE OAK STREET, Kitchener, ON",Single Family,1049000,2293,N/A,4,3
"55 CANDLE Crescent, Kitchener, ON",Single Family,1024000,2630,5511,2,3
"108 GARMENT Street Unit# 1405, Kitchener, ON",Condo,575000,N/A,3418,2,2
"248 OTTAWA ST N Street, Kitchener, ON",Single Family,575000,1131,N/A,4,1
"410 KING Street W Unit# 506, Kitchener, ON",Condo,599900,1546,N/A,2,2
"116 GREENBRIER Drive, Waterloo, ON",Single Family,749900,1623,4746,3,2
"10 STAHL Avenue, Kitchener, ON",Single Family,744900,1626,N/A,3,2
"14 KENNEDY Avenue, Kitchener, ON",MultiFamily,1189900,1860,3450,4,3
"342 MILL Street Unit# 50, Kitchener, ON",Single Family,712000,N/A,3430,3,3
"1 KRAFTWOOD Place, Waterloo, ON",Vacant Land,1000000,N/A,N/A,N/A,0
"197 BLAIR ROAD, Cambridge, ON",Single Family,879000,N/A,3744,3,3
"75 NORWICH CRESCENT, Haldimand, ON",Single Family,699900,N/A,1550,3,2
"225 BENJAMIN Road Unit# 64, Waterloo, ON",Condo,730000,1531,3996,3,4
"37 WOODEDGE Circle, Kitchener, ON",Single Family,779000,1718,N/A,3,3
"37 BROKEN OAK Crescent, Kitchener, ON",Single Family,724900,1539,N/A,4,2
"1323 MARY AVENUE, Cambridge, ON",Single Family,799000,N/A,4240,4,2
"68 FORESTWALK STREET, Kitchener, ON",Single Family,759000,N/A,3781,3,3
"645 BENNINGER DRIVE, Kitchener, ON",Single Family,1075000,N/A,5430,3,3
"10 DOLL COURT, Kitchener, ON",Single Family,735000,N/A,N/A,4,4
"96 GRAND RIVER Boulevard, Kitchener, ON",Single Family,800000,N/A,N/A,4,2
"45 MAX BECKER DRIVE, Kitchener, ON",Single Family,729900,N/A,3500,3,3
"39 DAHLIA Street, Kitchener, ON",Single Family,829000,1335,3588,3,2
"461 COLUMBIA Street W Unit# 18, Waterloo, ON",Single Family,749900,2447,N/A,4,3
"349 MILL STREET, Kitchener, ON",Single Family,699900,N/A,N/A,6,3
"261 BROADACRE Drive, Kitchener, ON",Single Family,1299888,N/A,N/A,4,5
"609 - 120 MANSION STREET, Kitchener, ON",Condo,379900,N/A,N/A,1,1
"110 FERGUS Avenue Unit# 5, Kitchener, ON",Condo/Townhome,734900,1456,N/A,3,2
"34 PINE WARBLER Street Unit# LOT 0028, Kitchener, ON",Single Family,794900,1483,N/A,3,3
"38 PINE WARBLER Street Unit# Lot 0027, Kitchener, ON",Single Family,779900,1440,N/A,3,2
"349 MILL Street, Kitchener, ON",MultiFamily,699900,3419,N/A,6,3
"19 SPACHMAN Street, Kitchener, ON",Single Family,1369900,2655,N/A,4,4
"950 HIGHLAND Road W Unit# 15, Kitchener, ON",Condo,519900,1081,2302,3,2
"40 MEADOW Crescent, Kitchener, ON",Single Family,749900,1202,N/A,5,2
"150 FORESTWALK ST FORESTWALK ST Street, Kitchener, ON",Single Family,1299000,2666,N/A,4,4
"367 EQUESTRIAN Way, Cambridge, ON",Single Family,1169900,2100,6381,4,3
"231 SEABROOK DRIVE, Kitchener, ON",Single Family,799000,N/A,N/A,3,3
"360 ERB STREET W, Waterloo, ON",MultiFamily,3880000,N/A,N/A,0,12
"337 KINGSWOOD Drive Unit# 12, Kitchener, ON",Condo,524900,1040,N/A,2,2
"142 FOAMFLOWER Place Unit# D057, Waterloo, ON",Condo,574900,1090,N/A,3,2
"841 WESTMINSTER Drive S, Cambridge, ON",Single Family,799900,N/A,N/A,5,2
"403 - 60 FREDERICK STREET, Kitchener, ON",Condo,474900,N/A,N/A,2,2
"255 KEATS Way Unit# 507, Waterloo, ON",Condo,619000,1547,N/A,3,2
"10 FALLOWFIELD Drive Unit# 7, Kitchener, ON",Condo,600000,1224,3131,3,2
"564 BLAIR CREEK DRIVE, Kitchener, ON",Single Family,739999,N/A,N/A,3,2
"618 - 257 HEMLOCK STREET, Waterloo, ON",Condo,369000,N/A,N/A,2,1
"20 ELLEN Street E Unit# 302, Kitchener, ON",Condo,349900,942,2558,2,1
"315 - 312 ERB STREET W, Waterloo, ON",Condo,398000,N/A,N/A,1,1
"854 DOON VILLAGE ROAD E, Kitchener, ON",Condo,699900,N/A,N/A,3,6
"55 DUKE Street W Unit# 901, Kitchener, ON",Condo,569000,863,3539,2,2
"59 NETHERWOOD Road, Kitchener, ON",Single Family,1249999,N/A,6822,5,4
"21 APPLEBY STREET, Kitchener, ON",Single Family,699000,N/A,N/A,2,3
"31 ROCKCLIFFE DRIVE, Kitchener, ON",Single Family,1250000,N/A,N/A,4,4
"151 UNIVERSITY AVENUE E, Waterloo, ON",MultiFamily,2499900,10086,12165 (2023),N/A,0
"48 WESTMOUNT Road S, Waterloo, ON",Single Family,889999,2933,N/A,7,3
"59 WILLIAM NADOR Street, Kitchener, ON",Single Family,899999,1578,4933,3,3
"29 WEST Avenue Unit# 707, Kitchener, ON",Condo,410000,N/A,N/A,3,2
"1374 COUNTRYSTONE DRIVE, Kitchener, ON",Single Family,759000,N/A,N/A,3,3
"324 ROSEMOUNT DRIVE, Kitchener, ON",Single Family,799000,N/A,N/A,5,2
"224 NEWMAN DRIVE, Cambridge, ON",Single Family,850000,N/A,N/A,4,3
"261 WOODBINE Avenue Unit# 39, Kitchener, ON",Condo/Townhome,560000,1113,N/A,3,2
"32 RIVER Street, Bloomingdale, ON",Single Family,800000,1931,3944,3,2
"50 BRYAN Court Unit# 413, Kitchener, ON",Condo,499900,877,N/A,2,2
"93 TREMAINE DRIVE, Kitchener, ON",Single Family,1599900,N/A,N/A,7,5
"99 ROGER Street Unit# 35, Waterloo, ON",Condo,599900,1124,2614,2,2
"514 OXBOW Road, Waterloo, ON",Single Family,1899900,N/A,N/A,5,5
"104 GRANDVIEW Drive, Conestogo, ON",Single Family,2499900,4946,N/A,5,4
"45 PRINCESS Street E, Waterloo, ON",MultiFamily,825000,1444,N/A,1,1
"180 ROYAL OAK Road, Cambridge, ON",Single Family,1449000,1970,8213,3,2
"120 OAKHURST Crescent, Kitchener, ON",Single Family,829900,N/A,N/A,4,2
"325 - 258C SUNVIEW STREET, Waterloo, ON",Condo,499900,N/A,N/A,1,1
"124 ST GEORGE STREET, Kitchener, ON",Single Family,699900,N/A,N/A,6,3
"62 DUNCAIRN Avenue, Kitchener, ON",Single Family,879900,2031,N/A,5,2
"110 FERGUS AVE Avenue Unit# 42, Kitchener, ON",Condo/Townhome,699000,1456,4365,3,2
"1180 UNION Street, Kitchener, ON",Single Family,474900,N/A,N/A,4,2
"1180 UNION Street, Kitchener, ON",MultiFamily,474900,791,N/A,4,2
"330 PHILLIP Street Unit# C322, Waterloo, ON",Condo,689000,800,N/A,3,2
"74 CHERRY HILL Drive, Kitchener, ON",Single Family,715000,N/A,N/A,3,2
"131 WOOD Street, Kitchener, ON",Single Family,749900,1484,N/A,3,2
"120 GLASGOW Street, Kitchener, ON",Single Family,649000,N/A,N/A,3,1
"10 MARSHALL Street, Waterloo, ON",MultiFamily,775000,1130,N/A,5,3
"239 CORRIE Crescent, Waterloo, ON",Single Family,2200000,N/A,N/A,5,5
"54 ROSLIN Avenue S, Waterloo, ON",Single Family,749900,2629,4543,3,2
"65 HIGHLAND Crescent Unit# 801, Kitchener, ON",Condo,349900,N/A,N/A,2,1
"111 SOUTH CREEK Drive Unit# 41, Kitchener, ON",Condo,619000,1355,N/A,2,3
"176 COGHILL Place Unit# A, Waterloo, ON",Single Family,700000,1750,3420,4,2
"1 VICTORIA Street S Unit# 1001, Kitchener, ON",Condo,645000,1056,N/A,2,2
"805B PATTERSON Place, Cambridge, ON",Single Family,649900,2000,3192,5,2
"9 BLOOMINGDALE Road N, Kitchener, ON",Single Family,675000,877,N/A,3,2
"217 JEFFREY PLACE, Kitchener, ON",Single Family,1499000,N/A,N/A,4,3
"375 TOWNSEND Drive, Breslau, ON",Single Family,1099000,N/A,N/A,5,3
"A608 - 275 LARCH STREET, Waterloo, ON",Condo,519800,N/A,N/A,2,2
"220 JEFFREY Place, Kitchener, ON",Single Family,1499000,2260,N/A,4,3
"213 FALLOWFIELD Drive, Kitchener, ON",Single Family,1250000,2260,N/A,3,3
"29 HURST AVENUE, Kitchener, ON",Single Family,1349900,N/A,N/A,4,4
"983* KING STREET E, Kitchener, ON",Vacant Land,5500000,N/A,12337,N/A,0
"98 WATERLOO STREET, Waterloo, ON",Single Family,849900,N/A,N/A,5,3
"62 DORSET STREET, Waterloo, ON",Single Family,1499999,N/A,N/A,14,6
"391 BEAVER Street, Cambridge, ON",Single Family,749000,1102,N/A,3,2
"251 HEMLOCK Street Unit# 301, Waterloo, ON",Condo,506800,698,N/A,2,2
"374 LOUISA STREET, Kitchener, ON",Single Family,799000,N/A,N/A,3,2
"1 VICTORIA Street S Unit# 709, Kitchener, ON",Condo,439900,756,3182,2,1
"235 CHAPEL HILL Drive Unit# 12, Kitchener, ON",Condo,479900,854,N/A,2,1
"151 UNIVERSITY AVENUE E, Waterloo, ON",Single Family,2499900,N/A,12165 (2023),0,8
"60 CHARLES Street W Unit# 1202, Kitchener, ON",Condo,649900,1078,N/A,2,2
"16C - 1430 HIGHLAND ROAD W, Kitchener, ON",Condo/Townhome,569900,N/A,N/A,2,2
"2002 - 60 FREDERICK STREET W, Kitchener, ON",Condo,564000,N/A,N/A,2,2
"10 MARSHALL STREET, Waterloo, ON",Single Family,775000,N/A,N/A,4,3
"1183 MICHAEL Crescent, Cambridge, ON",Single Family,759000,1648,4051,4,2
"265 WESTCOURT Place Unit# 608, Waterloo, ON",Condo,563999,1446,N/A,2,2
"28-30 ONTARIO Street S, Kitchener, ON",MultiFamily,3850000,6000,N/A,0,0
"324 HAVENDALE CRESCENT N, Waterloo, ON",Single Family,829000,N/A,4154,3,3
"312B BLUEVALE Street N, Waterloo, ON",Condo,599000,1244,N/A,3,3
"122 ROCHEFORT Street, Kitchener, ON",Single Family,684900,1352,3830,3,3
"268 CAMERON Street N, Kitchener, ON",Single Family,899900,2471,N/A,4,3
"765 GUELPH Street, Kitchener, ON",Single Family,680000,1769,N/A,4,3
"29 HURST Avenue, Kitchener, ON",MultiFamily,1349900,2200,N/A,4,4
"429 ERINBROOK Drive, Kitchener, ON",Single Family,799900,1960,3628,4,3
"842 ROBERT FERRIE Drive, Kitchener, ON",Single Family,1199900,3373,N/A,4,4
"1989 OTTAWA Street S Unit# 51, Kitchener, ON",Condo/Townhome,719999,1464,N/A,3,3
"27 WEICHEL Street, Kitchener, ON",MultiFamily,749900,N/A,N/A,4,3
"52 HENRY Street, Kitchener, ON",MultiFamily,799900,1425,4136,4,3
"18 DREGER Avenue, Kitchener, ON",Single Family,799999,2200,4429,3,2
"108 FIFTH Avenue, Kitchener, ON",MultiFamily,1150000,2602,N/A,5,4
"108 FIFTH Avenue, Kitchener, ON",Single Family,1150000,2602,N/A,5,4
"17 - 131 TRAYNOR AVENUE, Kitchener, ON",Condo/Townhome,449999,N/A,N/A,3,2
"G613 - 275 LARCH STREET, Waterloo, ON",Condo,435000,N/A,N/A,2,1
"740 CEDAR BEND Drive, Waterloo, ON",Single Family,1799000,4200,N/A,4,5
"191 DAIMLER Drive, Kitchener, ON",Single Family,900900,1701,5079,3,3
"12 ONWARD Avenue, Kitchener, ON",Single Family,650000,N/A,N/A,3,1
"8 ONWARD Avenue, Kitchener, ON",MultiFamily,699000,N/A,N/A,4,3
"901 - 158 KING STREET N, Waterloo, ON",Condo,399999,N/A,N/A,2,2
"428B DUNVEGAN Drive, Waterloo, ON",Single Family,525000,1372,N/A,3,2
"27 WEICHEL Street, Kitchener, ON",Single Family,749900,N/A,N/A,4,2
"955 STONECLIFFE Walk, Kitchener, ON",Single Family,1450000,4217,N/A,4,5
"97 FAIRMOUNT Road, Kitchener, ON",Single Family,649900,N/A,3500,3,1
"290 EQUESTRIAN Way Unit# 27, Cambridge, ON",Condo,719900,1640,3385,3,4
"404 - 108 GARMENT STREET, Kitchener, ON",Condo,388000,N/A,N/A,1,1
"1098 WURSTER Place, Breslau, ON",Single Family,4600000,N/A,N/A,11,10
"975 STRASBURG Road Unit# 7, Kitchener, ON",Condo,649000,N/A,N/A,3,3
"80 CLIVE Road, Kitchener, ON",Single Family,795000,1988,3742,5,3
"641 WILD RYE Street, Waterloo, ON",Single Family,1495000,N/A,N/A,5,4
"27 WILKINSON AVENUE, Cambridge, ON",Single Family,799900,N/A,4990,3,3
"535 MARGARET Street Unit# 48, Cambridge, ON",Single Family,659000,1614,3760,3,2
"345 BRIARMEADOW Drive Unit# 306, Kitchener, ON",Condo,429999,N/A,N/A,2,2
"18 - 143 RIDGE ROAD, Cambridge, ON",Single Family,829000,N/A,4750,4,3
"55 GREEN VALLEY Drive Unit# 1206, Kitchener, ON",Condo,469900,920,N/A,2,2
"195 NORWICH Road, Woolwich, ON",Single Family,750000,1518,N/A,4,3
"331 VICTORIA ST N Street, Kitchener, ON",Single Family,499900,1084,N/A,2,1
"15 WELLINGTON Street S Unit# 512, Kitchener, ON",Condo,399900,625,N/A,1,1
"275 LARCH Street Unit# 312, Waterloo, ON",Condo,461000,687,2649,2,2
"409 - 741 KING STREET W, Kitchener, ON",Condo,349900,N/A,N/A,1,1
"71 DENLOW Street, Kitchener, ON",Single Family,749900,2008,N/A,3,3
"572 BALSAM POPLAR STREET, Waterloo, ON",Single Family,1275000,N/A,N/A,5,5
"55 GREEN VALLEY Drive Unit# 414, Kitchener, ON",Condo,387000,820,N/A,1,1
"16 ROPER PLACE, Kitchener, ON",Single Family,739900,N/A,4073,3,3
"511 OAKVALE Drive, Waterloo, ON",Single Family,850000,2010,N/A,3,4
"2345 SNYDER ROAD E, Kitchener, ON",Single Family,1599000,N/A,N/A,8,5
"34 DOOLEY Drive, Kitchener, ON",Single Family,799000,N/A,N/A,5,3
"156 - 258A SUNVIEW STREET N, Waterloo, ON",Condo,399000,N/A,2748,1,1
"514 - 145 COLUMBIA STREET W, Waterloo, ON",Condo,515000,N/A,N/A,2,1
"55 DUKE Street Unit# 2207, Kitchener, ON",Condo,414000,775,N/A,1,1
"523 - 145 COLUMBIA STREET, Waterloo, ON",Condo,489900,N/A,N/A,2,1
"57 NORFOLK Crescent, Kitchener, ON",Single Family,649900,N/A,N/A,2,1
"60 FREDERICK Street Unit# 1805, Kitchener, ON",Condo,399000,496,N/A,1,1
"806 WESTMOUNT Road W, Kitchener, ON",Single Family,1600000,N/A,7879,4,4
"20 PAULANDER Drive Unit# 50, Kitchener, ON",Condo/Townhome,549900,1785,N/A,3,3
"91 DONNENWERTH DRIVE, Kitchener, ON",Single Family,690000,N/A,3151,3,3
"1208 - 128 KING STREET N, Waterloo, ON",Condo,429000,N/A,N/A,2,1
"65 WESTMOUNT Street N Unit# 801, Waterloo, ON",Condo,375000,1167,N/A,2,2
"53 - 620 LINDEN DRIVE, Cambridge, ON",Condo,699000,N/A,N/A,4,3
"D1 - 10 PALACE STREET, Kitchener, ON",Condo,450000,N/A,N/A,2,2
"60 FREDERICK ST Street Unit# 1102, Kitchener, ON",Condo,449900,690,3300,2,2
"50 BLUE SPRINGS Drive Unit# 31, Waterloo, ON",Condo,679900,1724,N/A,2,2
"468 EQUESTRIAN Way, Cambridge, ON",Single Family,979999,N/A,N/A,3,3
"731 WILLIAM Street, Cambridge, ON",Single Family,644900,1283,N/A,3,2
"3E - 255 MAITLAND STREET, Kitchener, ON",Condo,549900,N/A,3000,3,2
"30 ROUTLEY STREET, Kitchener, ON",Single Family,999000,N/A,5442 (2023),4,3
"261 - 258B SUNVIEW STREET, Waterloo, ON",Condo,449888,N/A,N/A,2,1
"111 - 30 HICKORY STREET E, Waterloo, ON",Condo,425000,N/A,N/A,3,1
"239 BRIDLEWREATH Street, Kitchener, ON",Single Family,799000,N/A,4048,3,3
"341 RIVERTRAIL AVENUE, Kitchener, ON",Single Family,1644999,N/A,8948,5,4
"707 - 60 CHARLES STREET W, Kitchener, ON",Condo,479900,N/A,N/A,1,1
"77 BRUCE Street, Kitchener, ON",Single Family,745000,N/A,N/A,4,3
"46 EDINBURGH Road, Kitchener, ON",Single Family,839900,N/A,N/A,5,2
"253 ALBERT Street N Unit# 104, Waterloo, ON",Condo,539900,741,N/A,2,2
"228 - 258B SUNVIEW STREET, Waterloo, ON",Condo,349999,N/A,N/A,2,1
"17 GIBSON Drive Unit# 15, Kitchener, ON",Condo/Townhome,499888,N/A,N/A,2,2
"150 STEEPLECHASE WAY, Waterloo, ON",Single Family,1130000,N/A,5929,4,4
"48 OAT LANE, Kitchener, ON",Condo,599900,N/A,3640 (2024),2,3
"55 GREEN VALLEY Drive Unit# 801, Kitchener, ON",Condo,439999,1200,2327,2,2
"48 SUMMERHILL Crescent, Kitchener, ON",Single Family,859000,2098,N/A,5,2
"48 SUMMERHILL Crescent, Kitchener, ON",MultiFamily,859000,2098,N/A,5,2
"72 WINDALE Crescent, Kitchener, ON",Single Family,699900,2000,N/A,3,3
"30 CASEY DRIVE, Kitchener, ON",Single Family,999999,N/A,4679,5,3
"5 WAKE ROBIN Drive Unit# 118, Kitchener, ON",Condo,419900,603,N/A,1,1
"547,549,553,555 LANCASTER Street W, Kitchener, ON",Vacant Land,1,N/A,N/A,N/A,0
"217 - 318 SPRUCE STREET, Waterloo, ON",Condo,479800,N/A,N/A,2,2
"23 JAMES Street, Waterloo, ON",Single Family,898888,3400,N/A,6,3
"410 CRAIGLEITH Drive Unit# 2, Waterloo, ON",Condo,675000,2359,4080,2,3
"155 CAROLINE Street Unit# 603, Waterloo, ON",Condo,499900,600,N/A,1,1
"15 GREEN VALLEY Drive Unit# 27, Kitchener, ON",Condo/Townhome,474900,1534,N/A,3,2
"42 ACACIA Street, Kitchener, ON",Single Family,769999,1653,N/A,5,2
"577 GOLDENROD Lane, Kitchener, ON",Condo,650000,1393,2994,3,2
"15 DUCKWORTH ROAD, Cambridge, ON",Single Family,695000,N/A,5638,4,3
"3227 KING Street Unit# 306, Kitchener, ON",Condo,414800,1003,N/A,2,2
"181 DAVID Street Unit# 4A, Kitchener, ON",Condo,499000,1126,2953,2,2
"46 EDINBURGH Road, Kitchener, ON",MultiFamily,839900,N/A,N/A,5,2
"63 SADDLEBROOK COURT, Kitchener, ON",Single Family,1049000,N/A,N/A,4,3
"77 BRUCE Street, Kitchener, ON",MultiFamily,745000,N/A,N/A,5,3
"248 NORWICH Road, Breslau, ON",Single Family,799900,2268,N/A,4,3
"P85 - 175 DAVID BERGEY DRIVE, Kitchener, ON",Condo/Townhome,649900,N/A,3288 (2024),3,2
"69 RUSH MEADOW Street, Kitchener, ON",Single Family,1000000,1311,N/A,3,3
"250 KEATS Way Unit# 22, Waterloo, ON",Condo,589900,N/A,N/A,3,3
"89 STIRLING Avenue N, Kitchener, ON",MultiFamily,869900,1926,N/A,4,3
"1989 OTTAWA Street S Unit# 17E, Kitchener, ON",Condo,539900,960,3016,2,2
"89 STIRLING Avenue N, Kitchener, ON",Single Family,869900,1926,N/A,5,3
"1203 - 128 KING STREET, Kitchener, ON",Condo,450000,N/A,3300,2,1
"109 BIEHN DRIVE, Kitchener, ON",Single Family,799900,N/A,N/A,4,2
"40 HENRY Street, Kitchener, ON",Single Family,848900,1550,3767,4,2
"34 PARK Street, Kitchener, ON",Single Family,749990,1498,4391,3,2
"15 WELLINGTON Street S Unit# 1603, Kitchener, ON",Condo,379900,500,N/A,1,1
"2 - 83 WESTMOUNT ROAD N, Waterloo, ON",Condo,619000,N/A,N/A,4,2
"54 LAUREL Street, Waterloo, ON",MultiFamily,749000,1653,N/A,2,2
"54 BLUE SPRINGS Drive Unit# 14, Waterloo, ON",Condo,879000,2035,N/A,2,2
"266 ACTIVA Avenue, Kitchener, ON",Single Family,675000,1326,3200,3,2
"30 - 365 PIONEER DRIVE, Kitchener, ON",Condo,599888,N/A,N/A,4,2
"223 FOUNTAIN Street N, Cambridge, ON",MultiFamily,1080000,1975,4400,6,3
"223 FOUNTAIN Street N, Cambridge, ON",Single Family,1080000,1975,4400,6,3
"20 LAMBERT Place, Kitchener, ON",Single Family,900000,N/A,N/A,5,2
"20 LAMBERT Place, Kitchener, ON",MultiFamily,900000,1157,N/A,5,2
"263 RIVERBANK Drive, Cambridge, ON",Single Family,1638999,4139,N/A,5,3
"14 - 420 LINDEN DRIVE, Cambridge, ON",Single Family,830000,N/A,N/A,3,3
"15 PONY WAY, Kitchener, ON",Single Family,799700,N/A,N/A,3,3
"92 HIGHLAND CRESCENT, Kitchener, ON",Single Family,699000,N/A,3147,3,3
"862 CREEKSIDE Drive, Waterloo, ON",Single Family,1649000,3042,N/A,5,4
"86 OLD HURON COURT, Kitchener, ON",Single Family,779900,N/A,N/A,5,2
"211 - 399 QUEEN STREET S, Kitchener, ON",Condo,549900,N/A,3806,2,2
"35 LOXLEIGH LANE, Woolwich, ON",Single Family,1099000,N/A,N/A,4,4
"489 EAST Avenue Unit# B, Kitchener, ON",Condo,539900,1226,N/A,3,2
"72 RENFREW Street, Kitchener, ON",Single Family,749000,1479,N/A,3,3
"112 BENTON Street Unit# 604, Kitchener, ON",Condo,579900,1135,4149,2,2
"18 MCDOUGALL Road, Waterloo, ON",Single Family,2350000,4091,N/A,4,4
"45 WESTMOUNT Road Unit# 708, Waterloo, ON",Condo,425000,1096,N/A,2,1
"175 DAVID BERGEY Drive Unit# P85, Kitchener, ON",Condo/Townhome,649900,N/A,3288,3,2
"194 MORRISON Road, Kitchener, ON",Single Family,749900,N/A,N/A,3,2
"00 MARTIN GROVE Road, St. Jacobs, ON",Vacant Land,375000,N/A,N/A,N/A,0
"57 IRON GATE Street, Kitchener, ON",Single Family,829000,1670,4213,3,3
"51 ASKIN Place, Kitchener, ON",Single Family,849900,1954,N/A,3,2
"288 ROSS Avenue, Kitchener, ON",Single Family,819900,N/A,N/A,3,2
"162 SHADED CREEK Drive Unit# Lot 0032, Kitchener, ON",Single Family,1259900,2786,N/A,4,4
"115 EVA DRIVE, Breslau, ON",Single Family,839900,1555,3760,3,3
"361 LANCASTER Street W Unit# B3, Kitchener, ON",Condo/Townhome,439900,1024,3428,2,2
"119 HILLBROOK Crescent, Kitchener, ON",Single Family,764900,1083,N/A,4,2
"80 DOON CREEK STREET, Kitchener, ON",Single Family,1188888,N/A,6000,5,3
"243 NORTHFIELD Drive E Unit# 611, Waterloo, ON",Condo,500000,831,3499,2,2
"299 MOORLANDS Crescent, Kitchener, ON",Single Family,1295000,N/A,6995,4,4
"44 WANNAMAKER CRESCENT, Cambridge, ON",Single Family,1029000,N/A,N/A,4,3
"401 - 257 HEMLOCK STREET, Waterloo, ON",Condo,339900,N/A,2565,1,1
"183 CEDARVALE Crescent Unit# B, Waterloo, ON",Single Family,599999,1259,3296,4,3
"688 HIGHPOINT Avenue Unit# A, Waterloo, ON",Single Family,639000,1750,3690,2,2
"580 BEAVERCREEK Crescent, Waterloo, ON",Single Family,105000,680,N/A,2,1
"57 - 755 LINDEN DRIVE, Cambridge, ON",Single Family,789900,N/A,N/A,3,2
"983 & 991-995 KING ST. E. & 512-516, 520 CHARLES ST. E. Street, Kitchener, ON",Vacant Land,5500000,N/A,N/A,N/A,0
"607 - 1 VICTORIA STREET S, Kitchener, ON",Condo,474900,N/A,3075,2,1
"77 CEDAR Street S, Kitchener, ON",MultiFamily,760000,1788,N/A,5,3
"437 WESTHAVEN Street, Waterloo, ON",Single Family,1080900,1796,N/A,4,2
"532 BIRCHLEAF Walk, Waterloo, ON",Single Family,1275000,N/A,6779,4,3
"98 DEER CREEK STREET, Kitchener, ON",Single Family,1820000,5000,N/A,5,6
"188 REDTAIL Street, Kitchener, ON",Single Family,2700000,N/A,11952,5,6
"74 MARKWOOD Drive, Kitchener, ON",Single Family,649900,N/A,N/A,4,2
"807 - 60 CHARLES STREET W, Kitchener, ON",Condo,459000,N/A,N/A,1,1
"584 PINERY TRAIL, Waterloo, ON",Single Family,1500000,N/A,N/A,6,5
"269 OLD POST Road, Waterloo, ON",Condo,1095000,2449,5904,3,3
"235 CHAPEL HILL Drive Unit# 4, Kitchener, ON",Condo,499900,882,N/A,2,1
"555 CHABLIS Drive Unit# 21, Waterloo, ON",Condo/Townhome,829900,N/A,N/A,3,4
"54 HEARTHWOOD Crescent, Kitchener, ON",Single Family,1249999,N/A,N/A,4,4
"600 WHITE ELM Boulevard Unit# 7, Waterloo, ON",Condo/Townhome,622000,1326,2939,3,2
"51 PAULANDER Drive Unit# 46, Kitchener, ON",Condo,489900,1299,N/A,3,1
"55 MOOREGATE Crescent Unit# 8, Kitchener, ON",Condo/Townhome,609900,1619,2940,3,3
"112 BENTON Street Unit# 322, Kitchener, ON",Condo,650000,N/A,N/A,2,2
"340 BISMARK DRIVE, Cambridge, ON",Single Family,779999,N/A,N/A,3,3
"907 VINE Street, Cambridge, ON",Single Family,624900,1200,3371,3,2
